Timestamp,Ekspresi,Kepercayaan (%)
2026-07-23 19:20:49,Netral,72.0
2026-07-23 19:20:50,Netral,79.0
2026-07-23 19:20:51,Netral,43.6
2026-07-23 19:20:52,Netral,93.1
2026-07-23 19:20:53,Senang,92.5
2026-07-23 19:20:54,Netral,80.0
2026-07-23 19:20:55,Senang,87.5
2026-07-23 19:20:56,Senang,90.4
2026-07-23 19:20:57,Netral,64.0
2026-07-23 19:20:58,Netral,49.8
2026-07-23 19:20:59,Netral,94.1
2026-07-23 19:21:00,Netral,87.0
2026-07-23 19:21:01,Netral,86.4
2026-07-23 19:21:02,Netral,87.8
2026-07-23 19:21:03,Netral,84.2
2026-07-23 19:21:04,Netral,85.0
2026-07-23 19:21:05,Senang,93.6
2026-07-23 19:21:06,Netral,68.2
2026-07-23 19:21:07,Netral,74.5
2026-07-23 19:21:08,Netral,91.9
2026-07-23 19:21:09,Netral,92.6
2026-07-23 19:21:10,Netral,67.9
2026-07-23 19:21:11,Netral,82.7
2026-07-23 19:21:12,Netral,74.7
2026-07-23 19:21:13,Kaget,90.5
2026-07-23 19:21:14,Senang,93.5
2026-07-23 19:21:15,Netral,85.9
2026-07-23 19:21:16,Senang,72.5
2026-07-23 19:21:17,Senang,99.2
2026-07-23 19:21:18,Senang,96.1
2026-07-23 19:21:19,Netral,62.8
2026-07-23 19:21:20,Kaget,86.9
2026-07-23 19:21:21,Senang,65.9
2026-07-23 19:21:22,Netral,83.7
2026-07-23 19:21:23,Netral,87.3
2026-07-23 19:21:24,Netral,88.7
2026-07-23 19:21:25,Netral,83.1
2026-07-23 19:21:26,Netral,88.8
2026-07-23 19:21:27,Netral,90.3
2026-07-23 19:21:28,Netral,84.3
2026-07-23 19:21:29,Netral,84.4
2026-07-23 19:21:30,Netral,92.2
2026-07-23 19:21:31,Senang,86.9
2026-07-23 19:21:32,Senang,48.6
2026-07-23 19:21:33,Netral,89.0
2026-07-23 19:21:34,Netral,42.4
2026-07-23 19:21:35,Netral,87.1
2026-07-23 19:21:36,Netral,86.1
